date,event_name,count,unique_users,prev_week_count,change_pct,is_error_event,funnel_step,drop_off_rate
2026-03-13,login_attempt,8420,8420,9100,-7.5,false,login_start,
2026-03-13,login_success,6050,6050,8800,-31.3,false,login_complete,28.1
2026-03-13,login_error,2370,2370,300,690.0,true,,
2026-03-13,page_load,24500,6050,31000,-20.9,false,,
2026-03-13,page_load_timeout,1820,1540,210,766.7,true,,
2026-03-13,search_query,4200,3100,5800,-27.6,false,search_start,
2026-03-13,search_result_click,1890,1500,4200,-55.0,false,search_complete,55.0
2026-03-13,search_error,820,740,95,763.2,true,,
2026-03-13,note_open,18200,5800,22000,-17.3,false,,
2026-03-13,note_edit,9100,4200,12000,-24.2,false,,
2026-03-13,app_crash,340,310,42,709.5,true,,
2026-03-13,workspace_load,6050,6050,8900,-32.0,false,onboarding_start,
2026-03-13,workspace_load_blank,980,980,45,2077.8,true,,
2026-03-13,sync_complete,4800,4200,8500,-43.5,false,,
2026-03-13,sync_error,1200,980,180,566.7,true,,
2026-03-12,login_attempt,8800,8800,9050,-2.8,false,login_start,
2026-03-12,login_success,7100,7100,8750,-18.9,false,login_complete,19.3
2026-03-12,login_error,1700,1700,250,580.0,true,,
2026-03-12,page_load,27000,7100,30500,-11.5,false,,
2026-03-12,page_load_timeout,980,820,190,415.8,true,,
2026-03-12,search_query,4800,3400,5700,-15.8,false,search_start,
2026-03-12,search_result_click,2500,2000,4100,-39.0,false,search_complete,47.9
2026-03-12,search_error,540,490,88,513.6,true,,
